Interface: 10.71.0.37 --- 0x1c
  Internet Address      Physical Address      Type
  10.71.0.1             cc-2d-e0-04-a0-7a     dynamic
  10.71.0.2             ca-02-bf-60-3f-1a     dynamic
  10.71.0.3             6c-c7-ec-f4-f3-95     dynamic
  10.71.0.4             fe-f4-45-bf-95-5a     dynamic
  10.71.0.11            48-55-19-cd-df-57     dynamic
  10.71.0.13            70-f1-a1-d5-7f-ef     dynamic
  10.71.0.19            06-d5-a9-8c-6e-5a     dynamic
  10.71.0.20            06-49-5d-c6-e1-2b     dynamic
  10.71.0.43            92-98-db-7b-41-db     dynamic
  10.71.0.53            b4-ae-2b-ef-76-6c     dynamic
  10.71.0.58            9c-a2-f4-fc-b6-8b     dynamic
  10.71.0.62            14-00-20-01-ee-de     dynamic
  10.71.0.66            9c-f3-87-ad-0c-9a     dynamic
  10.71.0.70            f6-56-de-3d-ca-e7     dynamic
  10.71.0.77            7a-70-92-1a-d0-fc     dynamic
  10.71.0.82            8e-52-7c-f5-95-cf     dynamic
  10.71.0.83            00-11-d9-b4-86-8a     dynamic
  10.71.0.87            92-da-d0-f3-2f-e2     dynamic
  10.71.0.115           34-94-54-92-05-01     dynamic
  10.71.0.116           f8-0f-f9-9b-07-b6     dynamic
  10.71.0.132           00-27-10-2e-d7-b8     dynamic
  10.71.0.140           a4-55-90-d2-05-f6     dynamic
  10.71.0.145           22-4f-30-21-8d-5d     dynamic
  10.71.0.146           06-81-73-92-78-2c     dynamic
  10.71.0.162           a8-9c-ed-b1-38-60     dynamic
  10.71.0.168           3a-28-75-3d-9e-f0     dynamic
  10.71.0.169           3e-b7-bf-6b-da-d7     dynamic
  10.71.0.177           76-0a-0d-38-07-f6     dynamic
  10.71.0.180           0c-98-38-b6-86-29     dynamic
  10.71.0.184           ba-27-da-0e-8b-86     dynamic
  10.71.0.186           8a-76-0f-83-a8-5c     dynamic
  10.71.0.192           da-de-f3-e5-2f-a3     dynamic
  10.71.0.198           f0-9e-4a-66-ee-82     dynamic
  10.71.0.212           18-87-40-54-52-8c     dynamic
  10.71.0.225           92-82-b5-6c-6a-40     dynamic
  10.71.0.227           ca-f5-ef-3c-68-b3     dynamic
  10.71.0.232           0c-98-38-78-c8-3d     dynamic
  10.71.0.252           90-78-b2-85-d2-a9     dynamic
  10.71.1.1             9c-2f-9d-63-2d-a3     dynamic
  10.71.1.3             cc-2d-83-ab-3b-0f     dynamic
  10.71.1.7             7e-e0-0f-39-a0-12     dynamic
  10.71.1.11            5e-38-54-76-fa-16     dynamic
  10.71.1.12            ae-19-c1-6a-cd-b2     dynamic
  10.71.1.23            f0-6d-78-7f-35-63     dynamic
  10.71.1.27            48-55-19-ce-6e-80     dynamic
  10.71.1.28            8c-83-e1-4e-74-5c     dynamic
  10.71.1.33            9e-43-46-ec-44-fd     dynamic
  10.71.1.34            4e-8a-49-48-e5-c0     dynamic
  10.71.1.36            74-8f-3c-c6-1f-55     dynamic
  10.71.1.48            1a-9f-59-fb-c2-d7     dynamic
  10.71.1.59            e6-cf-24-69-67-71     dynamic
  10.71.1.60            e6-7a-66-03-3a-b8     dynamic
  10.71.1.62            aa-24-27-bd-81-ea     dynamic
  10.71.1.63            82-f1-d2-1d-b3-0d     dynamic
  10.71.1.64            24-11-45-47-b8-94     dynamic
  10.71.1.74            f0-1f-c7-02-06-01     dynamic
  10.71.1.76            84-7b-57-f0-35-93     dynamic
  10.71.1.77            96-35-48-d7-e5-ad     dynamic
  10.71.1.78            d4-f0-57-5a-0c-e0     dynamic
  10.71.1.84            b0-68-e6-2d-86-79     dynamic
  10.71.1.87            da-5c-00-ad-7d-0d     dynamic
  10.71.1.88            90-09-18-d7-49-fc     dynamic
  10.71.1.92            1c-77-f6-eb-d2-d9     dynamic
  10.71.1.93            00-45-e2-75-10-dd     dynamic
  10.71.1.96            70-ae-d5-36-1d-64     dynamic
  10.71.1.99            00-27-10-b3-37-bc     dynamic
  10.71.1.102           9c-2e-a1-dc-93-93     dynamic
  10.71.1.130           48-55-19-ce-71-71     dynamic
  10.71.1.145           96-07-6d-ea-b5-82     dynamic
  10.71.1.150           da-b9-11-16-31-14     dynamic
  10.71.1.157           b2-7d-a2-ed-4a-9c     dynamic
  10.71.1.173           e8-68-e7-dc-e0-93     dynamic
  10.71.1.174           70-66-55-62-b0-95     dynamic
  10.71.1.180           aa-18-dd-d0-e9-4b     dynamic
  10.71.1.181           70-f0-88-6f-c3-1a     dynamic
  10.71.1.195           7a-89-9a-75-79-a7     dynamic
  10.71.1.231           5c-d0-6e-88-90-6d     dynamic
  10.71.1.235           28-3a-4d-4a-e6-eb     dynamic
  10.71.1.249           42-c8-08-e2-be-12     dynamic
  10.71.1.255           ff-ff-ff-ff-ff-ff     static
  224.0.0.22            01-00-5e-00-00-16     static
  224.0.0.251           01-00-5e-00-00-fb     static
  224.0.0.252           01-00-5e-00-00-fc     static
  239.255.255.250       01-00-5e-7f-ff-fa     static
