Interface: 192.168.1.87 --- 0x1b
  Internet Address      Physical Address      Type
  192.168.0.1           c8-d7-19-99-28-c1     dynamic
  192.168.0.2           2c-ab-eb-df-a3-2e     dynamic
  192.168.0.3           f4-b5-49-f4-79-5f     dynamic
  192.168.0.4           54-af-97-eb-e9-2d     dynamic
  192.168.0.5           18-b1-69-08-24-28     dynamic
  192.168.0.6           b4-fb-e4-13-77-24     dynamic
  192.168.0.7           b4-fb-e4-13-76-a3     dynamic
  192.168.0.8           f0-9f-c2-f6-bd-4a     dynamic
  192.168.0.9           b4-fb-e4-13-76-d7     dynamic
  192.168.0.10          f0-9f-c2-a6-e6-9b     dynamic
  192.168.0.11          00-15-65-96-bf-a1     dynamic
  192.168.0.12          00-15-65-2c-60-f0     dynamic
  192.168.0.14          00-15-65-8f-84-67     dynamic
  192.168.0.15          00-15-65-81-e1-fb     dynamic
  192.168.0.51          fc-3f-db-c3-1b-ae     dynamic
  192.168.0.52          fc-3f-db-bc-92-fc     dynamic
  192.168.0.60          58-03-fb-b8-a2-25     dynamic
  192.168.0.61          58-03-fb-b9-98-2a     dynamic
  192.168.0.79          18-b1-69-08-24-28     dynamic
  192.168.0.156         5c-3a-45-28-99-4b     dynamic
  192.168.0.162         f8-e4-3b-d0-30-c6     dynamic
  192.168.0.163         d8-bb-c1-6e-7b-76     dynamic
  192.168.0.177         a6-d8-3a-cc-3b-4c     dynamic
  192.168.0.204         30-05-05-c5-d6-b3     dynamic
  192.168.0.225         62-22-99-d8-5f-c8     dynamic
  192.168.0.227         2c-f0-5d-27-97-e7     dynamic
  192.168.0.238         e0-c2-64-62-c9-88     dynamic
  192.168.0.243         50-28-4a-7e-52-75     dynamic
  192.168.0.244         d4-d8-53-1e-86-4c     dynamic
  192.168.1.16          d8-bb-c1-6e-7b-76     dynamic
  192.168.1.18          c8-d7-19-99-28-c1     dynamic
  192.168.1.39          a2-07-ea-85-92-ff     dynamic
  192.168.1.70          0c-9a-3c-6d-d4-72     dynamic
  192.168.1.98          4c-77-cb-ec-e1-77     dynamic
  192.168.1.160         82-9c-28-25-e1-b2     dynamic
  192.168.1.164         bc-98-df-37-0d-3e     dynamic
  192.168.1.167         3c-06-30-20-4d-24     dynamic
  192.168.1.181         7e-aa-80-d6-2c-08     dynamic
  192.168.1.197         00-d8-61-37-7c-28     dynamic
  192.168.1.200         60-a4-4c-5f-95-b1     dynamic
  192.168.1.223         00-11-32-1e-94-2f     dynamic
  192.168.1.229         00-30-f1-00-33-53     dynamic
  192.168.1.233         00-50-56-b3-a5-d3     dynamic
  192.168.1.234         2c-f0-5d-27-97-e7     dynamic
  192.168.1.235         04-7c-16-78-f9-5b     dynamic
  192.168.1.241         00-50-56-8a-70-f3     dynamic
  192.168.1.242         00-50-56-b3-16-1b     dynamic
  192.168.1.243         00-50-56-b3-ed-58     dynamic
  192.168.1.245         00-50-56-b3-fd-5a     dynamic
  192.168.1.246         00-50-56-b3-f5-3e     dynamic
  192.168.1.255         ff-ff-ff-ff-ff-ff     static
  224.0.0.2             01-00-5e-00-00-02     static
  224.0.0.22            01-00-5e-00-00-16     static
  224.0.0.251           01-00-5e-00-00-fb     static
  224.0.0.252           01-00-5e-00-00-fc     static
  239.255.255.250       01-00-5e-7f-ff-fa     static
